combined_rank,division_rank,first_name,last_name,alias,region,division,conservative_rating,mu,sigma,ordinal,matches_played,percentage_of_best
1,1,Erik,Stjernlöf,starloef,SWE,Open,86.45,91.31,5.77,74.0,91,100.0
2,2,lars-tony,skoog,skoogis,SWE,Open,85.89,94.98,10.8,62.59,34,99.35
3,1,Ted,Åhlenius,ted,SWE,Production Optics,73.33,82.17,10.5,50.66,24,100.0
4,3,Johan,Nordberg,johann,SWE,Open,72.64,80.89,9.81,51.47,31,84.02
5,4,Joakim,Wallin,sveaskogen,SWE,Open,70.28,76.72,7.65,53.78,55,81.29
6,5,Faj,Tran,fajsan,SWE,Open,67.72,78.73,13.09,39.48,16,78.33
7,6,Kalle,Halvarsson,adhd,SWE,Open,64.88,73.81,10.61,41.97,21,75.05
8,7,Johan,Hansen,hansen,SWE,Open,64.19,70.39,7.36,48.32,68,74.26
9,8,Hugo,Rinaldo,,SWE,Open,62.4,67.79,6.41,48.57,41,72.17
10,1,Christian,Backman,,SWE,Pistol Caliber Carbine,61.3,75.49,16.87,24.9,11,100.0
11,9,Peter,Kastell,kastell,SWE,Open,60.71,65.66,5.88,48.02,56,70.22
12,10,IVAN,Lundgren,,SWE,Open,59.15,70.26,13.19,30.68,19,68.42
13,1,Rasmus,Gyllenberg,gylla,SWE,Production,59.07,64.74,6.74,44.53,56,100.0
14,2,Magnus,Johansson,,SWE,Production,57.21,63.27,7.2,41.68,74,96.86
15,2,Timur,Lundholm,timpa,SWE,Pistol Caliber Carbine,55.44,66.56,13.21,26.94,16,90.45
16,3,Tommy,Mattsson,digglers,SWE,Pistol Caliber Carbine,54.81,67.87,15.51,21.33,13,89.42
17,11,Anders,Johansson,johansson81,SWE,Open,53.51,61.05,8.96,34.16,27,61.89
18,2,Rasmus,Gyllenberg,gylla,SWE,Production Optics,53.19,65.74,14.91,21.0,9,72.53
19,12,Bjarne,Larning,,SWE,Open,52.73,57.13,5.23,41.44,86,60.99
20,3,David,Levin,spislucka,SWE,Production Optics,52.5,56.21,4.41,42.98,78,71.59
21,13,Albin,Hylander,hylanderjunior,SWE,Open,52.23,59.97,9.2,32.39,23,60.42
22,14,Jens,Söderlund,nanoti,SWE,Open,51.35,55.16,4.52,41.59,94,59.4
23,15,Pär,Hylander,macleod,SWE,Open,51.17,57.04,6.98,36.09,48,59.18
24,4,Robin,Östman,wox,SWE,Pistol Caliber Carbine,50.95,63.3,14.68,19.25,13,83.11
25,5,Mikael,Schelén,stmichael,SWE,Pistol Caliber Carbine,50.51,65.44,17.74,12.21,12,82.39
26,16,Bernhard,Skoglund,burni,SWE,Open,50.42,59.9,11.27,26.1,17,58.32
