division_rank,first_name,last_name,alias,region,division,conservative_rating,mu,sigma,ordinal,matches_played,percentage_of_best
1,Olle,Lindskog,olle,SWE,Revolver,18.84,25.51,7.92,1.74,51,100.0
2,Mats,Salomonsson,matsihagen,SWE,Revolver,17.46,22.98,6.55,3.32,58,92.69
3,Eddie,Karlsson,,SWE,Revolver,16.94,22.84,7.02,1.8,55,89.9
4,Per,Bergfeldt,magnumperre,SWE,Revolver,16.63,25.14,10.11,-5.19,38,88.26
5,Jonas,Björk,whistler,SWE,Revolver,16.15,26.84,12.69,-11.24,26,85.73
6,Håkan,Eklund,,SWE,Revolver,15.78,21.89,7.27,0.09,89,83.73
7,Markus,Thorstensson,,SWE,Revolver,15.16,22.56,8.79,-3.8,37,80.48
8,Ali,Adel,adelius,SWE,Revolver,14.35,25.84,13.66,-15.13,15,76.16
9,Tarmo,Kopakka,,SWE,Revolver,13.7,22.29,10.2,-8.31,47,72.73
10,Jan,Tirfing,tirre,SWE,Revolver,13.41,21.99,10.2,-8.6,38,71.18
11,Sonny,Forsberg,liston,SWE,Revolver,12.38,22.09,11.53,-12.5,33,65.72
12,Isak,Essebro,essebro,SWE,Revolver,11.47,23.23,13.98,-18.69,21,60.88
13,Martin,Johansson,martinrevo,SWE,Revolver,9.76,24.63,17.67,-28.38,10,51.79
14,Jörgen,Björk,jorgenbjork,SWE,Revolver,9.47,34.06,29.22,-53.6,2,50.23
15,Erika,Härnström,,SWE,Revolver,9.24,20.37,13.23,-19.31,29,49.05
16,Lars-Olof,Halvarsson,happyhunter,SWE,Revolver,8.98,25.79,19.98,-34.14,8,47.65
17,Lennart,Eriksson,lelle357,SWE,Revolver,8.89,23.16,16.96,-27.72,15,47.18
18,Kalle,Halvarsson,,SWE,Revolver,8.89,22.42,16.08,-25.83,18,47.16
19,Anders,Jansson,rattatosk,SWE,Revolver,8.62,21.09,14.81,-23.35,17,45.77
20,Oscar,Krook,platemate,SWE,Revolver,8.11,21.31,15.69,-25.76,18,43.03
21,Per,Telg,ipscper,SWE,Revolver,7.76,23.4,18.58,-32.34,11,41.2
22,Magnus,Flodström,,SWE,Revolver,7.58,20.49,15.33,-25.52,27,40.23
23,Kent,Kumpula,kentk,SWE,Revolver,7.12,24.72,20.91,-38.0,7,37.8
24,Rikard,Höijertz,formsvag,SWE,Revolver,7.09,22.98,18.88,-33.66,13,37.64
25,Andre,Lestander,rookie,SWE,Revolver,7.03,24.88,21.21,-38.74,8,37.33
26,Victor,Svensson,sheriffen,SWE,Revolver,6.99,25.04,21.45,-39.32,8,37.09
27,Patrik,Eklund,,SWE,Revolver,6.56,20.68,16.78,-29.64,18,34.84
28,Anders,Lindfors,,SWE,Revolver,6.44,23.91,20.75,-38.35,10,34.19
29,Patrik,Larsson,boggpatrik,SWE,Revolver,6.23,22.24,19.02,-34.81,11,33.09
30,David,Lindhe,davlin,SWE,Revolver,6.13,30.54,29.0,-56.47,4,32.52
31,Ivar,Edfeldt,revolverivar,SWE,Revolver,6.04,24.45,21.87,-41.16,11,32.07
32,Fredrik,Bergquist,,SWE,Revolver,5.91,24.67,22.3,-42.22,7,31.35
33,Christoffer,Malmström,krk,SWE,Revolver,5.8,24.94,22.74,-43.27,7,30.81
34,David,Salomonsson,mrsalo,SWE,Revolver,5.5,21.7,19.24,-36.03,10,29.21
35,Mikael,Jansson,mister45,SWE,Revolver,5.36,25.12,23.48,-45.31,8,28.44
36,Kalle,Dahlbom,,SWE,Revolver,5.33,24.3,22.54,-43.32,6,28.31
37,Fredrik,Lundberg,borderterrier,SWE,Revolver,5.2,22.25,20.26,-38.54,7,27.58
38,Pär,Linnarsson,45power,SWE,Revolver,5.13,20.82,18.65,-35.13,10,27.21
39,Henrik,Bohman,klumpfot,SWE,Revolver,4.64,24.95,24.13,-47.45,4,24.63
40,Fredrik,Lindén,tacbeardedman,SWE,Revolver,4.49,24.55,23.84,-46.96,4,23.83
41,Mikko,Laukkanen,,SWE,Revolver,4.41,23.89,23.15,-45.55,7,23.4
42,Stefan,Lindblom,stefanl,SWE,Revolver,4.39,24.76,24.2,-47.84,4,23.3
43,P-O,Persson,forsabon,SWE,Revolver,4.29,23.75,23.12,-45.6,5,22.79
44,Michael,Holm,,SWE,Revolver,4.08,24.93,24.77,-49.39,5,21.64
45,Henrik,Nilsson,,SWE,Revolver,4.0,22.57,22.06,-43.62,8,21.23
46,Åke,Pettersson,8x57,SWE,Revolver,3.68,25.18,25.55,-51.46,3,19.52
47,Kent,Westerlund,,SWE,Revolver,3.43,24.99,25.62,-51.87,6,18.19
48,Erik,Norbäck,goat,SWE,Revolver,3.42,22.82,23.05,-46.34,7,18.13
49,Per,Wikström,dalkarl,SWE,Revolver,3.19,24.29,25.08,-50.94,3,16.91
50,Wilhelm,Berndtsson,berra,SWE,Revolver,2.56,24.97,26.63,-54.92,3,13.57
51,Bo,Simu,bombo,SWE,Revolver,2.51,23.56,25.01,-51.46,6,13.33
52,Jon,Svensson,jon,SWE,Revolver,2.27,17.0,17.5,-35.52,12,12.03
53,Daniel,Härelind,backbreaker,SWE,Revolver,2.07,18.22,19.18,-39.33,14,11.01
