combined_rank,division_rank,first_name,last_name,alias,region,division,conservative_rating,mu,sigma,ordinal,matches_played,percentage_of_best
1,1,Erik,Andersson,,SWE,Production Optics,11.49,35.4,28.41,-49.83,1,100.0
2,2,Anna,Johansson,,SWE,Production Optics,7.33,31.24,28.41,-53.99,1,63.79
3,3,Magnus,Karlsson,,SWE,Production Optics,4.56,28.47,28.41,-56.76,1,39.66
4,4,Lisa,Nilsson,,SWE,Production Optics,2.58,26.49,28.41,-58.74,1,22.42
5,5,Johan,Eriksson,,SWE,Production Optics,1.09,25.0,28.41,-60.23,1,9.48
6,6,Emma,Larsson,,SWE,Production Optics,1.09,25.0,28.41,-60.23,1,9.48
7,7,Anders,Olsson,,SWE,Production Optics,-0.4,23.51,28.41,-61.71,1,-3.45
8,8,Sara,Persson,,SWE,Production Optics,-2.38,21.53,28.41,-63.7,1,-20.69
9,9,Mikael,Svensson,,SWE,Production Optics,-5.15,18.76,28.41,-66.47,1,-44.82
10,10,Maria,Gustafsson,,SWE,Production Optics,-9.31,14.6,28.41,-70.63,1,-81.03
