division_rank,first_name,last_name,alias,region,division,conservative_rating,mu,sigma,ordinal,matches_played,percentage_of_best
1,Erik,Stjernlöf,starloef,SWE,Open,86.45,91.31,5.77,74.0,91,100.0
2,lars-tony,skoog,skoogis,SWE,Open,85.89,94.98,10.8,62.59,34,99.35
3,Johan,Nordberg,johann,SWE,Open,72.64,80.89,9.81,51.47,31,84.02
4,Joakim,Wallin,sveaskogen,SWE,Open,70.28,76.72,7.65,53.78,55,81.29
5,Faj,Tran,fajsan,SWE,Open,67.72,78.73,13.09,39.48,16,78.33
6,Kalle,Halvarsson,adhd,SWE,Open,64.88,73.81,10.61,41.97,21,75.05
7,Johan,Hansen,hansen,SWE,Open,64.19,70.39,7.36,48.32,68,74.26
8,Hugo,Rinaldo,,SWE,Open,62.4,67.79,6.41,48.57,41,72.17
9,Peter,Kastell,kastell,SWE,Open,60.71,65.66,5.88,48.02,56,70.22
10,IVAN,Lundgren,,SWE,Open,59.15,70.26,13.19,30.68,19,68.42
11,Anders,Johansson,johansson81,SWE,Open,53.51,61.05,8.96,34.16,27,61.89
12,Bjarne,Larning,,SWE,Open,52.73,57.13,5.23,41.44,86,60.99
13,Albin,Hylander,hylanderjunior,SWE,Open,52.23,59.97,9.2,32.39,23,60.42
14,Jens,Söderlund,nanoti,SWE,Open,51.35,55.16,4.52,41.59,94,59.4
15,Pär,Hylander,macleod,SWE,Open,51.17,57.04,6.98,36.09,48,59.18
16,Bernhard,Skoglund,burni,SWE,Open,50.42,59.9,11.27,26.1,17,58.32
17,Jens,Lundström,jenlu,SWE,Open,49.58,58.24,10.29,27.37,31,57.35
18,Jakob,Ericsson,caben,SWE,Open,49.52,58.78,11.01,25.75,31,57.28
19,Kent,Westerlund,kwesen,SWE,Open,48.32,61.37,15.51,14.86,10,55.9
20,Frans,Vonasek,,SWE,Open,46.42,52.88,7.68,29.84,27,53.69
21,Jimmy,Sjögren,,SWE,Open,46.41,54.59,9.73,25.41,20,53.68
22,Martin,Håkansson,hakansson,SWE,Open,45.2,56.71,13.68,15.67,10,52.28
23,Tobias,Henriksson,monthe,SWE,Open,45.07,49.0,4.67,35.0,70,52.13
24,Daniel,Holmberg,rioter,SWE,Open,44.35,48.91,5.42,32.65,60,51.3
25,Sonny,Stenström,,SWE,Open,43.86,51.48,9.05,24.32,22,50.73
26,Christian,Skoglund,skoglund,SWE,Open,43.55,48.84,6.28,29.99,39,50.38
27,Gustav,Persson,,SWE,Open,42.84,52.34,11.29,18.48,31,49.56
28,Daniel,Lilienberg,mcping,SWE,Open,42.59,45.88,3.9,34.18,93,49.27
29,Marcus,Norberg,nog,SWE,Open,42.35,48.49,7.3,26.59,31,48.99
30,Jens,Sandberg,jens,SWE,Open,42.31,47.72,6.43,28.44,58,48.94
31,Magnus,Johansson,sigsauer,SWE,Open,40.58,57.27,19.83,-2.23,6,46.94
32,Jacob,Lindblom,jacobl,SWE,Open,39.75,50.59,12.88,11.95,23,45.98
33,Andreas,Warsén,,SWE,Open,39.38,45.8,7.63,22.9,30,45.55
34,Patrik,Selinder,selinder,SWE,Open,39.33,45.87,7.77,22.57,27,45.5
35,Joel,Svensson,,SWE,Open,39.21,48.37,10.89,15.7,18,45.35
36,jari,Kurttio,goldgun,SWE,Open,38.28,43.23,5.88,25.58,54,44.28
37,Håkan,Stors,,SWE,Open,37.34,47.07,11.56,12.38,16,43.19
38,Andreas,Anderson,,SWE,Open,37.23,43.5,7.45,21.14,40,43.06
39,Per,Forsling,slowfeet,SWE,Open,37.05,40.75,4.4,27.56,67,42.86
40,Stefan,Halvarsson,halvarsson,SWE,Open,36.68,44.58,9.38,16.42,27,42.43
41,Tomas,Nilsson,mansell,SWE,Open,36.57,43.03,7.67,20.02,49,42.31
