division_rank,first_name,last_name,alias,region,division,conservative_rating,mu,sigma,ordinal,matches_played,percentage_of_best
1,Christian,Backman,,SWE,Pistol Caliber Carbine,61.3,75.49,16.87,24.9,11,100.0
2,Timur,Lundholm,timpa,SWE,Pistol Caliber Carbine,55.44,66.56,13.21,26.94,16,90.45
3,Tommy,Mattsson,digglers,SWE,Pistol Caliber Carbine,54.81,67.87,15.51,21.33,13,89.42
4,Robin,Östman,wox,SWE,Pistol Caliber Carbine,50.95,63.3,14.68,19.25,13,83.11
5,Mikael,Schelén,stmichael,SWE,Pistol Caliber Carbine,50.51,65.44,17.74,12.21,12,82.39
6,Peter,Kastell,kastell,SWE,Pistol Caliber Carbine,47.88,62.01,16.79,11.65,11,78.11
7,Bjarne,Larning,bjarne,SWE,Pistol Caliber Carbine,47.39,57.91,12.5,20.42,17,77.31
8,Bernhard,Skoglund,burni,SWE,Pistol Caliber Carbine,46.08,60.54,17.18,9.01,10,75.17
9,Von,Batti,vonbatti,SWE,Pistol Caliber Carbine,43.73,52.1,9.94,22.28,25,71.34
10,lars-tony,skoog,skoogis,SWE,Pistol Caliber Carbine,40.09,59.22,22.73,-8.98,4,65.39
11,Robert,Söderström,dvc73,SWE,Pistol Caliber Carbine,39.82,53.85,16.67,3.84,10,64.97
12,Albin,Hylander,hylanderjunior,SWE,Pistol Caliber Carbine,39.6,59.19,23.27,-10.63,4,64.61
13,Mikael,Östling,pergite,SWE,Pistol Caliber Carbine,39.24,55.61,19.45,-2.73,7,64.02
14,Christian,Rönnlöf,krull,SWE,Pistol Caliber Carbine,37.59,47.21,11.43,12.92,20,61.32
15,Christian,B,,SWE,Pistol Caliber Carbine,36.49,54.84,21.81,-10.58,4,59.52
16,Jari,D,jade,SWE,Pistol Caliber Carbine,34.92,48.12,15.68,1.08,9,56.97
17,Jiro,Nihei,zatoichi,SWE,Pistol Caliber Carbine,33.79,46.36,14.95,1.53,13,55.12
18,Michael,Lindström,,SWE,Pistol Caliber Carbine,33.74,42.91,10.89,10.23,23,55.04
19,Andreas,Johannesson,adde317,SWE,Pistol Caliber Carbine,33.26,42.41,10.87,9.79,19,54.25
20,Rasmus,Gyllenberg,gylla,SWE,Pistol Caliber Carbine,32.5,52.38,23.63,-18.5,4,53.01
21,Miroslav,Matkovic,miro79,SWE,Pistol Caliber Carbine,31.13,40.83,11.52,6.27,17,50.79
22,Hugo,Rinaldo,rinaldojr,SWE,Pistol Caliber Carbine,31.08,46.96,18.87,-9.66,7,50.69
23,Jimmy,Jonsson,,SWE,Pistol Caliber Carbine,31.07,43.25,14.47,-0.16,10,50.69
24,Stellan,Simeonidis,odysseus,SWE,Pistol Caliber Carbine,29.45,45.52,19.1,-11.77,8,48.04
25,Jari,Devad,jade,SWE,Pistol Caliber Carbine,29.31,45.62,19.38,-12.51,6,47.82
26,Jens,H,jzh,SWE,Pistol Caliber Carbine,28.82,40.18,13.5,-0.32,13,47.01
27,Stefan,Wallberg,wallis,SWE,Pistol Caliber Carbine,28.5,41.25,15.14,-4.17,10,46.5
28,Fredrik,F,ferdi76,SWE,Pistol Caliber Carbine,28.46,39.16,12.71,1.03,13,46.42
29,Victor,Svensson,sheriffen,SWE,Pistol Caliber Carbine,27.58,44.2,19.75,-15.06,6,44.98
30,Henry,Ivarsson,henry77,SWE,Pistol Caliber Carbine,27.25,37.81,12.54,0.19,17,44.46
31,Kalle,Halvarsson,adhd,SWE,Pistol Caliber Carbine,26.87,44.98,21.51,-19.55,5,43.84
32,Mathias,Rinaldo,pewpewu2,SWE,Pistol Caliber Carbine,26.29,38.6,14.62,-5.27,11,42.89
33,Marcus,Molin,mackan73,SWE,Pistol Caliber Carbine,26.23,35.93,11.53,1.35,17,42.79
34,Lukas,Mattsson,glader,SWE,Pistol Caliber Carbine,25.18,38.78,16.15,-9.69,9,41.08
35,Lars-Olof,Halvarsson,happyhunter,SWE,Pistol Caliber Carbine,24.72,40.4,18.63,-15.49,6,40.33
36,Mattias,Wallander,wallan,SWE,Pistol Caliber Carbine,23.72,32.77,10.75,0.53,18,38.7
