division_rank,first_name,last_name,alias,region,division,conservative_rating,mu,sigma,ordinal,matches_played,percentage_of_best
1,Rasmus,Gyllenberg,gylla,SWE,Production,59.07,64.74,6.74,44.53,56,100.0
2,Magnus,Johansson,,SWE,Production,57.21,63.27,7.2,41.68,74,96.86
3,Ted,Åhlenius,ted,SWE,Production,49.68,55.24,6.61,35.42,46,84.11
4,Johan,Modigh,,SWE,Production,46.71,55.4,10.32,24.43,29,79.08
5,Robert,Söderström,,SWE,Production,41.12,46.72,6.64,26.79,40,69.62
6,Robert,Börjesson,,SWE,Production,40.75,43.95,3.8,32.54,100,68.99
7,Daniel,Johnson,,SWE,Production,39.04,42.52,4.13,30.14,80,66.1
8,Peter,Kastell,kastell,SWE,Production,38.92,47.36,10.03,17.27,47,65.89
9,Jörgen,Björk,jorgenbjork,SWE,Production,38.3,49.02,12.74,10.8,19,64.84
10,Mikael,Agnebo,mikagn,SWE,Production,38.29,44.68,7.59,21.91,48,64.83
11,Kalle,Halvarsson,,SWE,Production,37.57,48.51,12.99,9.52,18,63.61
12,Robert,Johansson,,SWE,Production,35.99,41.35,6.37,22.25,47,60.93
13,Martin,Assarsson,,SWE,Production,34.46,38.61,4.93,23.81,58,58.33
14,Per-Ola,Rasmussen,perola,SWE,Production,33.97,41.57,9.03,14.48,26,57.51
15,Cecilia,Lindberg,,SWE,Production,33.31,38.01,5.59,21.25,69,56.39
16,Niclas,Dal,,SWE,Production,33.17,40.86,9.13,13.46,44,56.16
17,Ricardo,Soler,rickipick,SWE,Production,32.37,35.4,3.6,24.6,134,54.8
18,Håkan,Wiren,,SWE,Production,32.32,36.51,4.97,21.58,68,54.72
19,Oscar,Fungmark,funkis,SWE,Production,31.53,37.65,7.27,15.83,30,53.38
20,Gabriel,Lind,gabbe,SWE,Production,31.34,35.95,5.48,19.5,68,53.06
21,Carl,Schultze,schultze,SWE,Production,30.9,33.66,3.28,23.83,104,52.32
22,Vincent,Hörnsten,,SWE,Production,30.44,36.06,6.68,16.02,35,51.53
23,Jimmy,Svensson,,SWE,Production,29.8,33.37,4.24,20.64,94,50.45
24,Magnus,Abelsson,,SWE,Production,29.75,33.27,4.18,20.73,93,50.37
25,Jens,Lundholm,,SWE,Production,29.17,33.17,4.76,18.9,52,49.38
26,Carl,Danielson,kexet,SWE,Production,28.97,32.58,4.29,19.72,103,49.05
27,F,Andersson,,SWE,Production,28.76,40.41,13.84,-1.1,12,48.7
28,Orvar,Bäcklin,htfu,SWE,Production,28.34,34.58,7.41,12.34,49,47.98
29,Klas,Lundberg,kfl69,SWE,Production,28.06,35.14,8.41,9.91,34,47.51
30,Jonas,Björk,whistler,SWE,Production,27.75,38.38,12.62,0.51,13,46.99
31,Clas,Öhman,,SWE,Production,27.68,35.27,9.03,8.19,34,46.86
32,Stefan,Ekstedt,steeks,SWE,Production,27.66,39.36,13.91,-2.36,17,46.83
33,Fredrik,Wildemo,fredwild,SWE,Production,27.62,33.55,7.05,12.4,47,46.76
34,Eric,Carlsson,,SWE,Production,27.34,32.09,5.64,15.15,71,46.28
35,Patrik,Gren,,SWE,Production,27.07,31.64,5.43,15.35,54,45.83
36,Andreas,Johansson,,SWE,Production,26.96,31.02,4.83,16.54,93,45.64
37,Jörgen,Andersson,,SWE,Production,26.89,34.29,8.8,7.9,29,45.52
38,Johnnie,Tibom,jt74,SWE,Production,26.86,31.39,5.39,15.24,50,45.48
39,Robin,Östman,,SWE,Production,26.66,32.82,7.31,10.88,41,45.14
40,Pär,Hylander,,SWE,Production,26.56,34.15,9.01,7.11,27,44.97
41,Jim,Andersson,,SWE,Production,26.48,31.61,6.09,13.33,49,44.83
42,Erik,Fjellström,,SWE,Production,26.42,32.22,6.89,11.55,36,44.73
43,Rickard,Eriksson,,SWE,Production,26.27,37.23,13.02,-1.84,13,44.47
44,Klas,Ekegren,oaken,SWE,Production,26.11,30.02,4.65,16.08,58,44.21
45,Daniel,Gulle,,SWE,Production,25.79,31.37,6.64,11.46,56,43.66
46,Stefan,Johannesson,st3f4n,SWE,Production,25.77,31.7,7.04,10.57,44,43.63
47,Tomas,Frisell,,SWE,Production,25.5,30.54,5.99,12.58,69,43.17
48,Lars-Olof,Halvarsson,,SWE,Production,25.45,31.9,7.66,8.92,44,43.09
49,Jonas,Ardemalm,,SWE,Production,25.44,31.6,7.32,9.63,49,43.07
50,Adam,Odgaard-Nexe,nexus,SWE,Production,25.31,32.76,8.85,6.21,43,42.85
51,Fredrik,Jacobsson,frejac01,SWE,Production,25.29,33.38,9.61,4.54,28,42.81
52,Sven,Lundin,lundin,SWE,Production,25.02,31.81,8.07,7.6,46,42.36
53,jaakko,kangasvieri,,SWE,Production,25.01,29.18,4.96,14.3,84,42.34
54,Johan,Skogh,,SWE,Production,24.91,31.5,7.83,8.0,28,42.17
55,Robert,Becker,,SWE,Production,24.39,30.18,6.88,9.54,35,41.29
56,David,Lindhe,davlin,SWE,Production,24.21,30.04,6.92,9.27,46,40.99
57,Mikael,Jung,jung,SWE,Production,24.2,31.76,8.98,4.81,19,40.97
58,Gustav,Arvidsson,ghost,SWE,Production,24.06,32.08,9.52,3.51,23,40.74
59,Jiro,Nihei,zatoichi,SWE,Production,23.93,30.46,7.76,7.19,50,40.51
60,Peter,Ardemalm,,SWE,Production,23.91,29.41,6.54,9.79,52,40.48
61,Peter,Söderberg,psod,SWE,Production,23.73,30.86,8.47,5.45,28,40.18
62,Max,Rutkvist,maxo,SWE,Production,23.71,35.03,13.45,-5.32,15,40.14
63,Gustav,Mogren,,SWE,Production,23.68,28.34,5.53,11.74,45,40.1
64,Magnus,Lindskog,messer,SWE,Production,23.47,28.53,6.02,10.48,34,39.73
