division_rank,first_name,last_name,alias,region,division,conservative_rating,mu,sigma,ordinal,matches_played,percentage_of_best
1,Thomas,Edvardsson,fader,SWE,Standard,45.68,51.16,6.51,31.62,67,100.0
2,Peter,Kastell,kastell,SWE,Standard,43.94,49.94,7.13,28.55,62,96.2
3,Robert,Söderström,dvc73,SWE,Standard,40.28,47.48,8.55,21.84,32,88.2
4,Rasmus,Gyllenberg,gylla,SWE,Standard,39.17,52.1,15.37,6.0,11,85.75
5,Magnus,Johansson,sigsauer,SWE,Standard,38.54,53.22,17.45,0.88,11,84.37
6,Mats O.,Bäckström,dalmas4,SWE,Standard,38.31,47.91,11.4,13.7,27,83.87
7,Robert,Börjesson,,SWE,Standard,37.06,43.26,7.37,21.16,43,81.14
8,Pär,Hylander,,SWE,Standard,36.69,41.18,5.33,25.18,39,80.32
9,Mikael,Jung,,SWE,Standard,35.25,38.42,3.76,27.14,120,77.18
10,Faj,Tran,fajsan,SWE,Standard,34.59,53.68,22.69,-14.37,5,75.73
11,Niclas,Dal,nickeklick,SWE,Standard,34.12,39.46,6.35,20.42,58,74.7
12,Johan,Skogh,,SWE,Standard,33.6,38.35,5.64,21.44,52,73.57
13,Michael,Bjurshagen,mibj,SWE,Standard,33.25,39.11,6.96,18.22,46,72.79
14,Kent,Westerlund,,SWE,Standard,32.06,37.38,6.32,18.42,44,70.19
15,Jonas,Forslund,forsis,SWE,Standard,31.4,34.17,3.29,24.3,140,68.75
16,Dan,Liljeström,liljestrom,SWE,Standard,31.37,43.07,13.9,1.38,15,68.69
17,stefan,wennerström,scubasteve,SWE,Standard,31.34,42.29,13.01,3.25,19,68.61
18,Daniel,Denwood,doubledelta,SWE,Standard,31.2,35.43,5.02,20.37,53,68.31
19,Ricardo,Soler,rickipick,SWE,Standard,30.52,35.69,6.13,17.29,46,66.83
20,Sebastian,Nilsson,,SWE,Standard,30.24,39.49,10.99,6.52,36,66.2
21,Teddi,Sörensson,futump,SWE,Standard,29.67,39.47,11.65,4.53,21,64.96
22,Kenneth,Karlsson,knet,SWE,Standard,29.16,35.48,7.51,12.95,30,63.84
23,Jonas,Björk,whistler,SWE,Standard,27.62,34.44,8.1,10.13,39,60.48
24,Peter,Eliasson,petereliasson,SWE,Standard,27.53,32.88,6.36,13.81,38,60.28
25,Andreas,Karlsson,badass40,SWE,Standard,27.08,31.1,4.78,16.77,71,59.28
26,Mathias,Henricsson,glock35,SWE,Standard,26.83,34.14,8.68,8.1,47,58.74
27,Albin,Karlsson,smalben,SWE,Standard,26.65,30.89,5.03,15.79,69,58.35
28,Per,Wiklander,,SWE,Standard,26.61,32.94,7.52,10.37,46,58.25
29,Simon,Fant,,SWE,Standard,26.01,31.69,6.75,11.45,32,56.95
30,Niklas,Nordgren,agaton,SWE,Standard,25.82,36.12,12.24,-0.6,20,56.52
31,Fredric,Andreasson,5106,SWE,Standard,25.47,34.65,10.9,1.94,20,55.77
32,Nicola,Lo Presti,,SWE,Standard,25.33,28.93,4.27,16.11,75,55.47
